csu,variable,shock,horizon,irf
aave_v3_arbitrum,basket_return,return_shock,26,6.246597645451413e-12
aave_v3_arbitrum,basket_return,return_shock,27,-2.4392112792303786e-11
aave_v3_arbitrum,basket_return,return_shock,28,4.6108592627938595e-12
aave_v3_arbitrum,basket_return,return_shock,29,-2.5625927663408785e-12
aave_v3_arbitrum,basket_return,return_shock,30,1.4571780052662352e-12
aave_v3_arbitrum,basket_return,liquidation_shock,0,0.0
aave_v3_arbitrum,basket_return,liquidation_shock,1,-0.06149305740917017
aave_v3_arbitrum,basket_return,liquidation_shock,2,0.155854000290567
aave_v3_arbitrum,basket_return,liquidation_shock,3,0.01321225528348096
aave_v3_arbitrum,basket_return,liquidation_shock,4,0.037304068503179064
aave_v3_arbitrum,basket_return,liquidation_shock,5,0.003358450999169139
aave_v3_arbitrum,basket_return,liquidation_shock,6,0.006064146024905595
aave_v3_arbitrum,basket_return,liquidation_shock,7,4.999393180262012e-05
aave_v3_arbitrum,basket_return,liquidation_shock,8,0.0007183182703706275
aave_v3_arbitrum,basket_return,liquidation_shock,9,-0.0001540130381949208
aave_v3_arbitrum,basket_return,liquidation_shock,10,5.3887274629847354e-05
aave_v3_arbitrum,basket_return,liquidation_shock,11,-5.297768021655885e-05
aave_v3_arbitrum,basket_return,liquidation_shock,12,5.538824141102963e-07
aave_v3_arbitrum,basket_return,liquidation_shock,13,-1.1437642454323963e-05
aave_v3_arbitrum,basket_return,liquidation_shock,14,-2.5146312339152367e-07
aave_v3_arbitrum,basket_return,liquidation_shock,15,-1.8577530355240748e-06
aave_v3_arbitrum,basket_return,liquidation_shock,16,9.564177006504127e-08
aave_v3_arbitrum,basket_return,liquidation_shock,17,-2.330109491657147e-07
aave_v3_arbitrum,basket_return,liquidation_shock,18,5.943314835922866e-08
aave_v3_arbitrum,basket_return,liquidation_shock,19,-2.1681419322201892e-08
aave_v3_arbitrum,basket_return,liquidation_shock,20,1.719936174910881e-08
aave_v3_arbitrum,basket_return,liquidation_shock,21,-1.4412331315883252e-09
aave_v3_arbitrum,basket_return,liquidation_shock,22,3.5659637919011995e-09
aave_v3_arbitrum,basket_return,liquidation_shock,23,-1.5947707551677537e-10
aave_v3_arbitrum,basket_return,liquidation_shock,24,5.832982444742642e-10
aave_v3_arbitrum,basket_return,liquidation_shock,25,-6.45423616829226e-11
aave_v3_arbitrum,basket_return,liquidation_shock,26,7.737154157427157e-11
aave_v3_arbitrum,basket_return,liquidation_shock,27,-2.2479310152126288e-11
aave_v3_arbitrum,basket_return,liquidation_shock,28,8.45321931566464e-12
aave_v3_arbitrum,basket_return,liquidation_shock,29,-5.704743195607336e-12
aave_v3_arbitrum,basket_return,liquidation_shock,30,8.534737238026651e-13
aave_v3_arbitrum,liquidation,return_shock,0,-0.22797282769094518
aave_v3_arbitrum,liquidation,return_shock,1,-0.21122677819900915
aave_v3_arbitrum,liquidation,return_shock,2,-0.0814365915926354
aave_v3_arbitrum,liquidation,return_shock,3,-0.048521669132208275
aave_v3_arbitrum,liquidation,return_shock,4,-0.013978448938285792
aave_v3_arbitrum,liquidation,return_shock,5,-0.006785548895890528
aave_v3_arbitrum,liquidation,return_shock,6,-0.0011642305719116396
aave_v3_arbitrum,liquidation,return_shock,7,-0.0004968030017554518
aave_v3_arbitrum,liquidation,return_shock,8,0.00010742003593866852
aave_v3_arbitrum,liquidation,return_shock,9,3.811955340294086e-05
aave_v3_arbitrum,liquidation,return_shock,10,6.220656848410443e-05
aave_v3_arbitrum,liquidation,return_shock,11,1.9622539474074177e-05
aave_v3_arbitrum,liquidation,return_shock,12,1.352669364579076e-05
aave_v3_arbitrum,liquidation,return_shock,13,3.405070620225028e-06
aave_v3_arbitrum,liquidation,return_shock,14,1.8971353815687675e-06
aave_v3_arbitrum,liquidation,return_shock,15,2.574412822680865e-07
aave_v3_arbitrum,liquidation,return_shock,16,1.4842107062975602e-07
aave_v3_arbitrum,liquidation,return_shock,17,-3.6987357810078604e-08
aave_v3_arbitrum,liquidation,return_shock,18,-7.06108979028752e-09
